Pic,Altitude (m),Eelgrass,Seaweed,Substrate,Total Pixels,Prop_eelgrass,Prop_Seaweed,Prop_Substrate,Tally,Diff_eelgrass,Diff_Seaweed,Diff_substrate,Notes
Quadrat,0,25,10,29,64,39,16,45,100,NA,NA,NA,Small quadrat (excludes perimeter square)
4,17,215381,104554,62670,382605,56.29330511,27.32687759,16.37981731,100,17.29330511,11.32687759,-28.62018269,
5,18,233026,77447,19096,329569,70.70628609,23.49947962,5.794234288,100,31.70628609,7.499479623,-39.20576571,
6,21,131046,50699,18843,200588,65.33092707,25.27519094,9.393881987,100,26.33092707,9.275190939,-35.60611801,Got the lines
7,24,88177,28777,8366,125320,70.36147462,22.96281519,6.675710182,100,31.36147462,6.962815193,-38.32428982,Got the lines
8,27,45117,16752,5922,67791,66.55308227,24.71124486,8.735672877,100,27.55308227,8.711244856,-36.26432712,
9,30,29038,15150,6181,50369,57.65053902,30.07802418,12.2714368,100,18.65053902,14.07802418,-32.7285632,
10,33,21759,11595,3060,36414,59.75449003,31.84214862,8.403361345,100,20.75449003,15.84214862,-36.59663866,
11,36,17706,8845,4157,30708,57.65924189,28.8035691,13.53718901,100,18.65924189,12.8035691,-31.46281099,
12,39,13280,6735,2154,22169,59.90346881,30.38026072,9.716270468,100,20.90346881,14.38026072,-35.28372953,
13,43,9792,4864,876,15532,63.04403811,31.31599279,5.639969096,100,24.04403811,15.31599279,-39.3600309,
14,45,7987,4349,1775,14111,56.60123308,30.81992772,12.5788392,100,17.60123308,14.81992772,-32.4211608,
15,49,7725,2891,762,11378,67.89418175,25.40868342,6.697134822,100,28.89418175,9.408683424,-38.30286518,
16,52,5571,2684,947,9202,60.5411867,29.16757227,10.29124103,100,21.5411867,13.16757227,-34.70875897,
17,55,5596,3156,1132,9884,56.61675435,31.93039255,11.4528531,100,17.61675435,15.93039255,-33.5471469,
18,57,5188,2087,1210,8485,61.14319387,24.59634649,14.26045963,100,22.14319387,8.596346494,-30.73954037,
19,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quadrat has a glare hole in eelgrass
20,64,3462,1208,677,5347,64.74658687,22.59210772,12.6613054,100,25.74658687,6.592107724,-32.3386946,
21,67,3492,1329,678,5499,63.50245499,24.16803055,12.32951446,100,24.50245499,8.168030551,-32.67048554,
22,70,1868,947,328,3143,59.43366211,30.13044862,10.43588928,100,20.43366211,14.13044862,-34.56411072,
23,73,2184,1895,466,4545,48.05280528,41.69416942,10.2530253,100,9.052805281,25.69416942,-34.7469747,
24,76,2364,1032,309,3705,63.80566802,27.85425101,8.340080972,100,24.80566802,11.85425101,-36.65991903,
25,79,2045,770,576,3391,60.30669419,22.70716603,16.98613978,100,21.30669419,6.707166028,-28.01386022,
26,82,2238,701,444,3383,66.15430092,20.72125333,13.12444576,100,27.15430092,4.721253325,-31.87555424,
27,85,2048,770,420,3238,63.24891909,23.78011118,12.97096973,100,24.24891909,7.78011118,-32.02903027,
28,88,1651,600,512,2763,59.7538907,21.7155266,18.5305827,100,20.7538907,5.715526602,-26.4694173,
29,91,1963,679,208,2850,68.87719298,23.8245614,7.298245614,100,29.87719298,7.824561404,-37.70175439,
30,94,1463,334,492,2289,63.91437309,14.59152468,21.49410223,100,24.91437309,-1.408475317,-23.50589777,
31,97,1485,464,280,2229,66.6218035,20.81650965,12.56168686,100,27.6218035,4.816509646,-32.43831314,
32,100,1307,540,272,2119,61.68003775,25.48371874,12.83624351,100,22.68003775,9.483718735,-32.16375649,
33,103,863,462,287,1612,53.53598015,28.66004963,17.80397022,100,14.53598015,12.66004963,-27.19602978,
34,106,1160,405,140,1705,68.03519062,23.75366569,8.211143695,100,29.03519062,7.753665689,-36.7888563,
35,109,1039,437,168,1644,63.19951338,26.58150852,10.2189781,100,24.19951338,10.58150852,-34.7810219,
36,112,965,345,133,1443,66.87456687,23.90852391,9.216909217,100,27.87456687,7.908523909,-35.78309078,
37,116,936,130,355,1421,65.86910626,9.148486981,24.98240676,100,26.86910626,-6.851513019,-20.01759324,
38,119,933,326,111,1370,68.10218978,23.79562044,8.102189781,100,29.10218978,7.795620438,-36.89781022,
39,121,1110,271,142,1523,72.88246881,17.79382797,9.323703217,100,33.88246881,1.793827971,-35.67629678,
